Date,Sample No.,Wavelenghts ,,,,,
07/06/2023,,A470,A647,A664,,,
,1,0.632,0.211,0.411,,,
,2,0.512,0.172,0.361,,,
,3,0.561,0.217,0.44,,,
,4,0.549,0.181,0.389,,,
,5,0.555,0.22,0.415,,,
,6,0.49,0.178,0.35,,,
,7,0.421,0.159,0.333,,,
,8,0.493,0.174,0.361,,,
,blank,0.049,0.048,0.05,,,
14/06/2023,,,,,,,
,1,0.117,0.096,0.152,,,
,2,0.13,0.106,0.18,,,
,3,0.14,0.115,0.187,,,
,4,0.157,0.115,0.191,,,
,5,0.162,0.13,0.239,,,
,6,0.08,0.085,0.138,,,
,7,0.125,0.105,0.202,,,
,8,0.128,0.108,0.194,,,
,blank,0.048,0.049,0.049,,,
16/06/2023,,,,,,,
,1,0.141,0.111,0.216,,,
,2,0.123,0.103,0.195,,,
,3,0.184,0.144,0.257,,,
,4,0.165,0.136,0.248,,,
,5,0.232,0.136,0.221,,,
,6,0.149,0.116,0.183,,,
,7,0.166,0.136,0.249,,,
,8,0.16,0.128,0.226,,,
,blank,0.048,0.049,0.049,,,
20/06/2023,,,,,,,
,1,0.143,0.105,0.181,,,
,2,0.194,0.144,0.236,,,
,3,0.212,0.153,0.25,,,
,4,0.19,0.136,0.216,,,
,5,0.194,0.142,0.223,,,
,6,0.218,0.162,0.262,,,
,7,0.216,0.163,0.313,,,
,8,0.206,0.149,0.227,,,
,blank,0.048,0.049,0.049,,,
27/06/2023,,,,,,,
,1,0.211,0.092,0.12,,,
,2,0.194,0.082,0.109,,,
,3,0.17,0.08,0.105,,,
,4,0.233,0.11,0.146,,,
,5,0.205,0.092,0.115,,,
,6,0.182,0.095,0.132,,,
,7,0.184,0.097,0.123,,,
,8,0.183,0.081,0.109,,,
,blank,0.047,0.046,0.046,,,
07/07/2023,,,,,,,
,1,0.206,0.091,0.117,,,
,2,0.231,0.1,0.127,,,
,3,0.215,0.091,0.117,,,
,4,0.227,0.104,0.136,,,
,5,0.229,0.102,0.129,,,
,6,0.27,0.106,0.141,,,
,7,0.204,0.098,0.123,,,
,8,0.233,0.109,0.145,,,
,blank,0.047,0.046,0.046,,,
18/07/2023,,,,,,,
,1,0.257,0.103,0.106,,,
,2,0.227,0.083,0.094,,,
,3,0.246,0.074,0.077,,,
25/07/2023,blank,0.048,0.047,0.047,,,
,,,,,,,
,1,0.192,0.086,0.105,,,
,2,0.187,0.078,0.091,,,
,3,0.231,0.093,0.105,,,
,4,0.188,0.08,0.092,,,
,5,0.226,0.095,0.115,,,
,6,0.226,0.094,0.117,,,
,7,0.177,0.076,0.078,,,
,blank,0.048,0.047,0.047,,,
,,,,,,,
10/08/2023,1,0.174,0.076,0.094,,,
,2,0.205,0.102,0.143,,,
,3,0.199,0.09,0.121,,,
,4,0.179,0.09,0.122,,,
,5,0.18,0.075,0.1,,,
,6,0.208,0.095,0.135,,,
,Blank,0.045,0.046,0.046,,,
,,,,,,,
16/08/2023,1,0.195,0.087,0.092,,,
,2,0.166,0.086,0.114,,,
,3,0.191,0.089,0.112,,,
,4,0.181,0.084,0.116,,,
,5,0.135,0.079,0.112,,,
,6,0.145,0.078,0.102,,,
,Blank,0.045,0.046,0.046,,,
