Date,Tree1,Tree2,Tree3,Tree4,Tree5,Tree6,Tree7,Tree8,
20/06/2022,0.676666667,0.67,0.743333333,0.67,0.733333333,0.713333333,0.703333333,0.786666667,
21/06/2022,0.696666667,0.71,0.773333333,0.69,0.73,0.75,0.716666667,0.726666667,
22/06/2022,0.71,0.723333333,0.65,0.773333333,0.656666667,0.776666667,0.703333333,0.7,
23/06/2022,0.72,0.756666667,0.706666667,0.73,0.71,0.826666667,0.72,0.79,
27/06/2022,0.706666667,0.736666667,0.7,0.75,0.69,0.79,0.72,0.78,
28/06/2022,0.73,0.773333333,0.653333333,0.763333333,0.77,0.786666667,0.703333333,0.736666667,
29/06/2022,0.733333333,0.733333333,0.77,0.656666667,0.766666667,0.71,0.756666667,0.756666667,
04/07/2022,0.736666667,0.74,0.64,0.72,0.803333333,0.81,0.796666667,0.77,
06/07/2022,0.75,0.733333333,0.736666667,0.64,0.826666667,0.753333333,0.68,0.706666667,
07/07/2022,0.71,0.766666667,0.646666667,0.643333333,0.78,0.76,0.843333333,0.746666667,
08/07/2022,0.706666667,0.756666667,0.793333333,0.743333333,0.72,0.75,0.78,0.783333333,
11/07/2022,0.76,0.77,0.76,,0.736666667,0.82,0.743333333,0.783333333,
12/07/2022,0.806666667,0.76,0.736666667,0.693333333,0.846666667,0.813333333,0.803333333,0.763333333,
13/07/2022,0.71,0.773333333,0.723333333,0.766666667,0.803333333,0.87,0.87,0.79,
15/07/2022,0.83,0.773333333,0.82,0.673333333,0.883333333,0.743333333,0.733333333,0.79,
18/07/2022,0.813333333,0.803333333,0.776666667,0.756666667,0.763333333,0.843333333,0.853333333,0.82,
20/07/2022,0.703333333,0.78,0.756666667,0.72,0.856666667,0.84,,0.78,
21/07/2022,0.733333333,0.743333333,0.756666667,0.73,0.683333333,0.796666667,0.9,0.833333333,
25/07/2022,0.75,0.756666667,0.8,0.76,0.806666667,0.796666667,0.903333333,0.836666667,
01/08/2022,0.766666667,0.786666667,0.856666667,0.77,0.88,0.836666667,0.8,0.793333333,
05/08/2022,0.77,0.82,0.85,,0.803333333,0.853333333,0.843333333,0.743333333,
08/08/2022,0.723333333,0.73,0.763333333,0.78,0.86,0.8,,0.686666667,
09/08/2022,0.693333333,0.753333333,0.77,0.706666667,0.813333333,0.726666667,0.833333333,0.763333333,
10/08/2022,0.68,0.66,0.776666667,0.64,0.823333333,0.74,0.793333333,0.73,
11/08/2022,0.713333333,0.716666667,0.803333333,0.693333333,0.726666667,0.776666667,0.666666667,0.673333333,
12/08/2022,0.63,0.733333333,0.733333333,0.636666667,0.71,0.77,0.786666667,0.673333333,
15/08/2022,0.756666667,0.626666667,0.686666667,,0.78,0.736666667,0.8,0.69,
18/08/2022,0.676666667,0.683333333,0.576666667,,0.716666667,0.726666667,0.66,,
23/08/2022,0.786666667,0.743333333,,,0.803333333,0.696666667,0.773333333,0.646666667,
